event_id,event_date,event_timestamp_utc,headline_text,source_query,source_hint,source_url,tier,review_status,coverage_bucket,final_event_type,theme,channels_hint,polarity_expected,routing_notes,keyword_additions_suggested,validation_status,observed_soxx_amplitude_z,observed_soxx_lag_days,observed_soxx_decay,observed_qqq_amplitude_z,observed_qqq_lag_days,observed_qqq_decay,observed_xlu_amplitude_z,observed_xlu_lag_days,observed_xlu_decay,observed_xle_amplitude_z,observed_xle_lag_days,observed_xle_decay,observed_soxx_d0,observed_soxx_d1,observed_soxx_d2,observed_soxx_d3,observed_qqq_d0,observed_qqq_d1,observed_qqq_d2,observed_qqq_d3,observed_xlu_d0,observed_xlu_d1,observed_xlu_d2,observed_xlu_d3,observed_xle_d0,observed_xle_d1,observed_xle_d2,observed_xle_d3,timestamp_quality,contamination_flag,benchmark_symbol,benchmark_adjustment_method,human_notes
E038,2025-07-23,,US executive order aims to accelerate federal permitting for data center infrastructure,accelerating federal permitting data center infrastructure July 23 2025,GDELT/NewsAPI,https://news.google.com/search?q=accelerating+federal+permitting+data+center+infrastructure+July+23+2025,gold,gold_approved,,policy_ai_infra,ai_infrastructure_policy,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.92,0.11,1.53,0.74,0.38,1.62,1.00,1.10,2.14,0.22,1.54,2.01,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E037,2025-07-15,,Administration reverses or adjusts AI chip export policy affecting Nvidia China sales,AI chip export policy Nvidia China July 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+chip+export+policy+Nvidia+China+July+2025,gold,gold_approved,,policy_semiconductor,chip_export_policy_shift,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.63,0.00,1.26,-1.02,0.41,1.46,0.45,1.09,1.75,0.23,1.92,2.12,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E036,2025-06-24,,Infrastructure reports highlight grid capacity gaps for the AI economy,AI economy grid capacity gaps June 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+economy+grid+capacity+gaps+June+2025,gold,gold_approved,,power_bottleneck,grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.80,0.51,1.66,-0.45,0.52,1.71,1.00,1.18,2.25,0.33,1.52,2.02,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E035,2025-06-03,,Northern Virginia data center demand faces constrained power supply,Northern Virginia data center demand constrained power supply June 2025,GDELT/NewsAPI,https://news.google.com/search?q=Northern+Virginia+data+center+demand+constrained+power+supply+June+2025,gold,gold_approved,,power_bottleneck,regional_grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.81,0.40,1.56,-0.49,0.54,1.74,0.98,1.14,2.18,0.36,1.42,2.03,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E034,2025-05-07,,AI compute demand supports power equipment and grid infrastructure narrative,AI compute demand power equipment grid infrastructure May 2025,NewsAPI,https://news.google.com/search?q=AI+compute+demand+power+equipment+grid+infrastructure+May+2025,gold,gold_approved,,ai_demand,ai_power_rotation,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.72,0.00,1.30,1.06,0.02,1.49,0.89,0.89,1.99,0.28,1.50,1.91,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E033,2025-04-24,,DOE request for information targets AI data centers and energy co-location,DOE AI data centers energy co-location April 2025,GDELT/NewsAPI,https://news.google.com/search?q=DOE+AI+data+centers+energy+co-location+April+2025,gold,gold_approved,,policy_ai_infra,ai_energy_colocation,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.86,0.29,1.58,0.70,0.30,1.76,0.97,0.98,2.26,0.26,1.57,2.04,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E032,2025-04-09,,New trade restrictions increase uncertainty for semiconductor supply chains,new trade restrictions semiconductor supply chain April 2025,GDELT/NewsAPI,https://news.google.com/search?q=new+trade+restrictions+semiconductor+supply+chain+April+2025,gold,gold_approved,,policy_semiconductor,tariff_shock,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.83,0.00,1.32,-1.00,0.26,1.40,0.45,1.08,1.90,0.23,1.79,2.11,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E031,2025-04-02,,US tariff escalation raises risk-off pressure across global equities,US tariff escalation global equities April 2025 semiconductors,GDELT/NewsAPI,https://news.google.com/search?q=US+tariff+escalation+global+equities+April+2025+semiconductors,gold,gold_approved,,policy_semiconductor,tariff_shock,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.75,0.00,1.27,-1.05,0.41,1.40,0.46,1.07,1.72,0.25,1.74,2.17,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E030,2025-03-18,,Cloud providers accelerate AI infrastructure investment plans,cloud providers accelerate AI infrastructure investment March 2025,NewsAPI,https://news.google.com/search?q=cloud+providers+accelerate+AI+infrastructure+investment+March+2025,gold,gold_approved,,ai_demand,cloud_ai_capex,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.49,0.00,1.38,1.07,0.02,1.35,0.76,1.06,1.91,0.25,1.47,2.03,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E029,2025-03-03,,Electricity supply bottleneck becomes central to US AI competitiveness debate,electricity supply bottleneck US AI competitiveness March 2025,GDELT/NewsAPI,https://news.google.com/search?q=electricity+supply+bottleneck+US+AI+competitiveness+March+2025,gold,gold_approved,,power_bottleneck,grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.74,0.38,1.57,-0.47,0.61,1.71,0.96,1.19,2.18,0.33,1.48,1.97,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E028,2025-02-11,,Power providers discuss rising data center load growth and grid investment needs,power providers data center load growth grid investment February 2025,NewsAPI,https://news.google.com/search?q=power+providers+data+center+load+growth+grid+investment+February+2025,gold,gold_approved,,power_bottleneck,utility_load_growth,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,-0.82,0.43,1.63,-0.51,0.60,1.73,0.95,0.94,2.09,0.38,1.54,2.07,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E027,2025-01-27,,AI infrastructure policy shifts increase focus on data center power supply,AI infrastructure policy data center power supply January 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+infrastructure+policy+data+center+power+supply+January+2025,gold,gold_approved,,policy_ai_infra,ai_infrastructure_policy,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.85,0.29,1.49,0.77,0.36,1.62,1.04,1.00,2.29,0.24,1.57,1.98,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E026,2025-01-14,,US executive action supports frontier AI infrastructure and clean power procurement,frontier AI infrastructure executive order clean power January 2025,GDELT/NewsAPI,https://news.google.com/search?q=frontier+AI+infrastructure+executive+order+clean+power+January+2025,gold,gold_approved,,policy_ai_infra,ai_infrastructure_policy,permitting|buildout_support|power_enablement,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,0.90,0.25,1.68,0.72,0.31,1.74,1.07,1.03,2.07,0.24,1.47,2.14,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E025,2024-12-10,,AI data center buildout raises concern about electricity scarcity,AI data center electricity scarcity December 2024,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+center+electricity+scarcity+December+2024,gold,gold_approved,,ai_demand,electricity_scarcity,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,1.74,0.00,1.47,1.01,0.15,1.44,0.82,0.98,2.00,0.26,1.53,1.98,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E024,2024-11-25,,Semiconductor policy uncertainty rises ahead of new US administration,semiconductor policy uncertainty new US administration November 2024,GDELT/NewsAPI,https://news.google.com/search?q=semiconductor+policy+uncertainty+new+US+administration+November+2024,gold,gold_approved,,policy_semiconductor,policy_uncertainty,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.63,0.06,1.27,-0.91,0.36,1.50,0.46,1.08,1.80,0.21,1.85,2.14,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E023,2024-11-12,,Utilities highlight load growth from data centers in earnings commentary,utilities earnings load growth data centers November 2024,NewsAPI,https://news.google.com/search?q=utilities+earnings+load+growth+data+centers+November+2024,gold,gold_approved,,power_bottleneck,utility_load_growth,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,-0.78,0.42,1.58,-0.50,0.44,1.55,1.00,0.88,2.08,0.37,1.54,1.95,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E022,2024-10-30,,Cloud AI spending outlook supports continued data center expansion,cloud AI spending outlook data center expansion October 2024,NewsAPI,https://news.google.com/search?q=cloud+AI+spending+outlook+data+center+expansion+October+2024,gold,gold_approved,,ai_demand,cloud_ai_capex,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.61,0.04,1.50,1.05,0.16,1.48,0.86,0.92,1.99,0.24,1.53,1.99,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E021,2024-10-17,,Advanced chip export-control debate weighs on semiconductor sentiment,advanced chip export control debate semiconductor October 2024,GDELT/NewsAPI,https://news.google.com/search?q=advanced+chip+export+control+debate+semiconductor+October+2024,gold,gold_approved,,policy_semiconductor,chip_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.71,0.00,1.34,-0.98,0.36,1.50,0.49,1.14,1.76,0.23,1.95,2.10,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E020,2024-10-01,,Oil supply risk rises as Middle East conflict broadens,Middle East conflict broadens oil supply risk October 2024,GDELT/NewsAPI,https://news.google.com/search?q=Middle+East+conflict+broadens+oil+supply+risk+October+2024,gold,gold_approved,,geopolitical_energy,oil_supply_risk,oil_supply_risk|risk_off|inflation_sensitivity,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.77,0.37,1.37,-0.84,0.24,1.52,0.14,1.24,2.02,1.68,0.00,1.59,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E019,2024-09-25,,Grid equipment and utility stocks gain attention from AI power demand narrative,grid equipment utilities AI power demand September 2024,NewsAPI,https://news.google.com/search?q=grid+equipment+utilities+AI+power+demand+September+2024,gold,gold_approved,,power_bottleneck,grid_equipment,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,-0.87,0.39,1.57,-0.54,0.43,1.68,1.00,0.91,2.27,0.38,1.51,2.17,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E018,2024-09-10,,US-China technology policy tensions pressure global chip supply chains,US China technology policy tensions chip supply chains September 2024,GDELT/NewsAPI,https://news.google.com/search?q=US+China+technology+policy+tensions+chip+supply+chains+September+2024,gold,gold_approved,,policy_semiconductor,tech_policy,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.84,0.00,1.34,-1.02,0.35,1.55,0.51,1.20,1.87,0.20,1.91,2.28,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E017,2024-08-28,,AI chip demand remains strong after semiconductor earnings updates,AI chip demand semiconductor earnings August 2024,NewsAPI,https://news.google.com/search?q=AI+chip+demand+semiconductor+earnings+August+2024,gold,gold_approved,,ai_demand,ai_chip_demand,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.67,0.00,1.40,1.00,0.05,1.44,0.73,0.95,2.01,0.26,1.48,2.05,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E016,2024-08-15,,Data center developers face interconnection delays in key US power markets,data center interconnection delays US power markets August 2024,GDELT/NewsAPI,https://news.google.com/search?q=data+center+interconnection+delays+US+power+markets+August+2024,gold,gold_approved,,power_bottleneck,interconnection_delay,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.73,0.36,1.55,-0.51,0.51,1.70,1.01,1.07,2.21,0.36,1.55,1.94,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E015,2024-08-02,,Oil markets react to renewed geopolitical risk in the Middle East,oil markets renewed geopolitical risk Middle East August 2024,GDELT/NewsAPI,https://news.google.com/search?q=oil+markets+renewed+geopolitical+risk+Middle+East+August+2024,gold,gold_approved,,geopolitical_energy,oil_supply_risk,oil_supply_risk|risk_off|inflation_sensitivity,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.88,0.36,1.50,-0.84,0.31,1.37,0.14,1.13,1.97,1.72,0.00,1.36,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E014,2024-07-24,,AI infrastructure theme broadens from chips to power and grid equipment,AI infrastructure chips power grid equipment July 2024,NewsAPI,https://news.google.com/search?q=AI+infrastructure+chips+power+grid+equipment+July+2024,gold,gold_approved,,ai_demand,ai_power_rotation,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.46,0.00,1.42,0.93,0.09,1.46,0.81,0.72,2.07,0.26,1.48,2.11,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E013,2024-07-09,,Semiconductor export-control headlines renew China supply-chain concerns,semiconductor export control China supply chain July 2024,GDELT/NewsAPI,https://news.google.com/search?q=semiconductor+export+control+China+supply+chain+July+2024,gold,gold_approved,,policy_semiconductor,chip_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.81,0.00,1.31,-1.04,0.35,1.43,0.48,1.16,1.72,0.23,1.92,2.13,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E012,2024-06-18,,Energy analysts flag natural gas demand upside from AI data centers,natural gas demand AI data centers June 2024,NewsAPI,https://news.google.com/search?q=natural+gas+demand+AI+data+centers+June+2024,gold,gold_approved,,power_bottleneck,natural_gas_power,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,-0.78,0.45,1.66,-0.52,0.50,1.56,0.98,1.16,2.25,0.45,1.41,2.16,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E011,2024-06-03,,Northern Virginia data center market faces constrained power availability,Northern Virginia data center constrained power June 2024,GDELT/NewsAPI,https://news.google.com/search?q=Northern+Virginia+data+center+constrained+power+June+2024,gold,gold_approved,,power_bottleneck,grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.77,0.44,1.60,-0.50,0.56,1.61,0.98,1.08,2.16,0.33,1.41,2.08,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E010,2024-05-22,,AI server demand boosts semiconductor and data center supply chain expectations,AI server demand semiconductor data center May 2024,NewsAPI,https://news.google.com/search?q=AI+server+demand+semiconductor+data+center+May+2024,gold,gold_approved,,ai_demand,ai_servers,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.72,0.01,1.36,1.08,0.01,1.50,0.76,1.02,2.00,0.26,1.51,1.94,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E009,2024-05-08,,US considers additional trade restrictions affecting advanced semiconductor supply chains,US additional trade restrictions advanced semiconductors May 2024,GDELT/NewsAPI,https://news.google.com/search?q=US+additional+trade+restrictions+advanced+semiconductors+May+2024,gold,gold_approved,,policy_semiconductor,chip_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.82,0.00,1.19,-1.01,0.31,1.52,0.45,1.10,1.69,0.22,1.86,2.29,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E008,2024-04-25,,Major cloud providers signal higher AI infrastructure investment,cloud providers AI infrastructure investment April 2024,NewsAPI,https://news.google.com/search?q=cloud+providers+AI+infrastructure+investment+April+2024,gold,gold_approved,,ai_demand,ai_capex,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.53,0.00,1.39,0.96,0.17,1.50,0.75,0.98,1.79,0.28,1.36,2.06,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E007,2024-04-16,,New restrictions on AI chip sales to China renew semiconductor policy risk,AI chip sales China restrictions April 2024,GDELT/NewsAPI,https://news.google.com/search?q=AI+chip+sales+China+restrictions+April+2024,gold,gold_approved,,policy_semiconductor,chip_export_controls,trade_restriction|supply_chain_risk|domestic_rotation,negative,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-1.76,0.00,1.19,-1.03,0.29,1.40,0.48,1.22,1.70,0.23,1.85,2.14,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E006,2024-04-04,,Oil prices rise as Middle East escalation risk increases,Middle East escalation oil prices April 2024,GDELT/NewsAPI,https://news.google.com/search?q=Middle+East+escalation+oil+prices+April+2024,gold,gold_approved,,geopolitical_energy,oil_supply_risk,oil_supply_risk|risk_off|inflation_sensitivity,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.80,0.47,1.55,-0.77,0.39,1.57,0.13,1.15,1.94,1.61,0.00,1.47,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E005,2024-03-20,,AI infrastructure spending expectations rise after cloud capex commentary,cloud capex AI infrastructure spending March 2024,NewsAPI,https://news.google.com/search?q=cloud+capex+AI+infrastructure+spending+March+2024,gold,gold_approved,,ai_demand,ai_capex,ai_capex|compute_demand|power_rotation,positive,Legacy seeded gold observation migrated from events_seed.csv.,,news_query_linked_seeded_observation,1.47,0.00,1.27,0.98,0.18,1.42,0.71,1.00,1.79,0.26,1.39,2.03,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
E004,2024-03-05,,Utilities warn that AI data center growth may strain regional grids,utilities warn AI data center grid strain March 2024,GDELT/NewsAPI,https://news.google.com/search?q=utilities+warn+AI+data+center+grid+strain+March+2024,gold,gold_approved,,power_bottleneck,grid_constraint,grid_constraint|interconnection_delay|power_rotation,mixed,Legacy seeded gold observation migrated from events_seed.csv.,,aggregator_query_linked_seeded_observation,-0.73,0.40,1.52,-0.47,0.59,1.58,1.07,0.90,2.08,0.37,1.56,1.98,,,,,,,,,,,,,,,,,,,,,Migrated from legacy seed dataset.
