event_id,event_date,event_text,event_type,theme,source_query,source_hint,source_url,validation_status,observed_soxx_amplitude_z,observed_soxx_lag_days,observed_soxx_decay,observed_qqq_amplitude_z,observed_qqq_lag_days,observed_qqq_decay,observed_xlu_amplitude_z,observed_xlu_lag_days,observed_xlu_decay,observed_xle_amplitude_z,observed_xle_lag_days,observed_xle_decay
E011,2024-06-03,Northern Virginia data center market faces constrained power availability,power_bottleneck,grid_constraint,Northern Virginia data center constrained power June 2024,GDELT/NewsAPI,https://news.google.com/search?q=Northern+Virginia+data+center+constrained+power+June+2024,aggregator_query_linked_seeded_observation,-0.77,0.44,1.60,-0.50,0.56,1.61,0.98,1.08,2.16,0.33,1.41,2.08
E012,2024-06-18,Energy analysts flag natural gas demand upside from AI data centers,power_bottleneck,natural_gas_power,natural gas demand AI data centers June 2024,NewsAPI,https://news.google.com/search?q=natural+gas+demand+AI+data+centers+June+2024,news_query_linked_seeded_observation,-0.78,0.45,1.66,-0.52,0.50,1.56,0.98,1.16,2.25,0.45,1.41,2.16
E013,2024-07-09,Semiconductor export-control headlines renew China supply-chain concerns,policy_semiconductor,chip_export_controls,semiconductor export control China supply chain July 2024,GDELT/NewsAPI,https://news.google.com/search?q=semiconductor+export+control+China+supply+chain+July+2024,aggregator_query_linked_seeded_observation,-1.81,0.00,1.31,-1.04,0.35,1.43,0.48,1.16,1.72,0.23,1.92,2.13
E014,2024-07-24,AI infrastructure theme broadens from chips to power and grid equipment,ai_demand,ai_power_rotation,AI infrastructure chips power grid equipment July 2024,NewsAPI,https://news.google.com/search?q=AI+infrastructure+chips+power+grid+equipment+July+2024,news_query_linked_seeded_observation,1.46,0.00,1.42,0.93,0.09,1.46,0.81,0.72,2.07,0.26,1.48,2.11
E015,2024-08-02,Oil markets react to renewed geopolitical risk in the Middle East,geopolitical_energy,oil_supply_risk,oil markets renewed geopolitical risk Middle East August 2024,GDELT/NewsAPI,https://news.google.com/search?q=oil+markets+renewed+geopolitical+risk+Middle+East+August+2024,aggregator_query_linked_seeded_observation,-0.88,0.36,1.50,-0.84,0.31,1.37,0.14,1.13,1.97,1.72,0.00,1.36
E016,2024-08-15,Data center developers face interconnection delays in key US power markets,power_bottleneck,interconnection_delay,data center interconnection delays US power markets August 2024,GDELT/NewsAPI,https://news.google.com/search?q=data+center+interconnection+delays+US+power+markets+August+2024,aggregator_query_linked_seeded_observation,-0.73,0.36,1.55,-0.51,0.51,1.70,1.01,1.07,2.21,0.36,1.55,1.94
E017,2024-08-28,AI chip demand remains strong after semiconductor earnings updates,ai_demand,ai_chip_demand,AI chip demand semiconductor earnings August 2024,NewsAPI,https://news.google.com/search?q=AI+chip+demand+semiconductor+earnings+August+2024,news_query_linked_seeded_observation,1.67,0.00,1.40,1.00,0.05,1.44,0.73,0.95,2.01,0.26,1.48,2.05
E018,2024-09-10,US-China technology policy tensions pressure global chip supply chains,policy_semiconductor,tech_policy,US China technology policy tensions chip supply chains September 2024,GDELT/NewsAPI,https://news.google.com/search?q=US+China+technology+policy+tensions+chip+supply+chains+September+2024,aggregator_query_linked_seeded_observation,-1.84,0.00,1.34,-1.02,0.35,1.55,0.51,1.20,1.87,0.20,1.91,2.28
E019,2024-09-25,Grid equipment and utility stocks gain attention from AI power demand narrative,power_bottleneck,grid_equipment,grid equipment utilities AI power demand September 2024,NewsAPI,https://news.google.com/search?q=grid+equipment+utilities+AI+power+demand+September+2024,news_query_linked_seeded_observation,-0.87,0.39,1.57,-0.54,0.43,1.68,1.00,0.91,2.27,0.38,1.51,2.17
E020,2024-10-01,Oil supply risk rises as Middle East conflict broadens,geopolitical_energy,oil_supply_risk,Middle East conflict broadens oil supply risk October 2024,GDELT/NewsAPI,https://news.google.com/search?q=Middle+East+conflict+broadens+oil+supply+risk+October+2024,aggregator_query_linked_seeded_observation,-0.77,0.37,1.37,-0.84,0.24,1.52,0.14,1.24,2.02,1.68,0.00,1.59
E021,2024-10-17,Advanced chip export-control debate weighs on semiconductor sentiment,policy_semiconductor,chip_export_controls,advanced chip export control debate semiconductor October 2024,GDELT/NewsAPI,https://news.google.com/search?q=advanced+chip+export+control+debate+semiconductor+October+2024,aggregator_query_linked_seeded_observation,-1.71,0.00,1.34,-0.98,0.36,1.50,0.49,1.14,1.76,0.23,1.95,2.10
E022,2024-10-30,Cloud AI spending outlook supports continued data center expansion,ai_demand,cloud_ai_capex,cloud AI spending outlook data center expansion October 2024,NewsAPI,https://news.google.com/search?q=cloud+AI+spending+outlook+data+center+expansion+October+2024,news_query_linked_seeded_observation,1.61,0.04,1.50,1.05,0.16,1.48,0.86,0.92,1.99,0.24,1.53,1.99
E023,2024-11-12,Utilities highlight load growth from data centers in earnings commentary,power_bottleneck,utility_load_growth,utilities earnings load growth data centers November 2024,NewsAPI,https://news.google.com/search?q=utilities+earnings+load+growth+data+centers+November+2024,news_query_linked_seeded_observation,-0.78,0.42,1.58,-0.50,0.44,1.55,1.00,0.88,2.08,0.37,1.54,1.95
E024,2024-11-25,Semiconductor policy uncertainty rises ahead of new US administration,policy_semiconductor,policy_uncertainty,semiconductor policy uncertainty new US administration November 2024,GDELT/NewsAPI,https://news.google.com/search?q=semiconductor+policy+uncertainty+new+US+administration+November+2024,aggregator_query_linked_seeded_observation,-1.63,0.06,1.27,-0.91,0.36,1.50,0.46,1.08,1.80,0.21,1.85,2.14
E025,2024-12-10,AI data center buildout raises concern about electricity scarcity,ai_demand,electricity_scarcity,AI data center electricity scarcity December 2024,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+center+electricity+scarcity+December+2024,aggregator_query_linked_seeded_observation,1.74,0.00,1.47,1.01,0.15,1.44,0.82,0.98,2.00,0.26,1.53,1.98
E026,2025-01-14,US executive action supports frontier AI infrastructure and clean power procurement,policy_ai_infra,ai_infrastructure_policy,frontier AI infrastructure executive order clean power January 2025,GDELT/NewsAPI,https://news.google.com/search?q=frontier+AI+infrastructure+executive+order+clean+power+January+2025,aggregator_query_linked_seeded_observation,0.90,0.25,1.68,0.72,0.31,1.74,1.07,1.03,2.07,0.24,1.47,2.14
E027,2025-01-27,AI infrastructure policy shifts increase focus on data center power supply,policy_ai_infra,ai_infrastructure_policy,AI infrastructure policy data center power supply January 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+infrastructure+policy+data+center+power+supply+January+2025,aggregator_query_linked_seeded_observation,0.85,0.29,1.49,0.77,0.36,1.62,1.04,1.00,2.29,0.24,1.57,1.98
E028,2025-02-11,Power providers discuss rising data center load growth and grid investment needs,power_bottleneck,utility_load_growth,power providers data center load growth grid investment February 2025,NewsAPI,https://news.google.com/search?q=power+providers+data+center+load+growth+grid+investment+February+2025,news_query_linked_seeded_observation,-0.82,0.43,1.63,-0.51,0.60,1.73,0.95,0.94,2.09,0.38,1.54,2.07
E029,2025-03-03,Electricity supply bottleneck becomes central to US AI competitiveness debate,power_bottleneck,grid_constraint,electricity supply bottleneck US AI competitiveness March 2025,GDELT/NewsAPI,https://news.google.com/search?q=electricity+supply+bottleneck+US+AI+competitiveness+March+2025,aggregator_query_linked_seeded_observation,-0.74,0.38,1.57,-0.47,0.61,1.71,0.96,1.19,2.18,0.33,1.48,1.97
E030,2025-03-18,Cloud providers accelerate AI infrastructure investment plans,ai_demand,cloud_ai_capex,cloud providers accelerate AI infrastructure investment March 2025,NewsAPI,https://news.google.com/search?q=cloud+providers+accelerate+AI+infrastructure+investment+March+2025,news_query_linked_seeded_observation,1.49,0.00,1.38,1.07,0.02,1.35,0.76,1.06,1.91,0.25,1.47,2.03
E031,2025-04-02,US tariff escalation raises risk-off pressure across global equities,policy_semiconductor,tariff_shock,US tariff escalation global equities April 2025 semiconductors,GDELT/NewsAPI,https://news.google.com/search?q=US+tariff+escalation+global+equities+April+2025+semiconductors,aggregator_query_linked_seeded_observation,-1.75,0.00,1.27,-1.05,0.41,1.40,0.46,1.07,1.72,0.25,1.74,2.17
E032,2025-04-09,New trade restrictions increase uncertainty for semiconductor supply chains,policy_semiconductor,tariff_shock,new trade restrictions semiconductor supply chain April 2025,GDELT/NewsAPI,https://news.google.com/search?q=new+trade+restrictions+semiconductor+supply+chain+April+2025,aggregator_query_linked_seeded_observation,-1.83,0.00,1.32,-1.00,0.26,1.40,0.45,1.08,1.90,0.23,1.79,2.11
E033,2025-04-24,DOE request for information targets AI data centers and energy co-location,policy_ai_infra,ai_energy_colocation,DOE AI data centers energy co-location April 2025,GDELT/NewsAPI,https://news.google.com/search?q=DOE+AI+data+centers+energy+co-location+April+2025,aggregator_query_linked_seeded_observation,0.86,0.29,1.58,0.70,0.30,1.76,0.97,0.98,2.26,0.26,1.57,2.04
E034,2025-05-07,AI compute demand supports power equipment and grid infrastructure narrative,ai_demand,ai_power_rotation,AI compute demand power equipment grid infrastructure May 2025,NewsAPI,https://news.google.com/search?q=AI+compute+demand+power+equipment+grid+infrastructure+May+2025,news_query_linked_seeded_observation,1.72,0.00,1.30,1.06,0.02,1.49,0.89,0.89,1.99,0.28,1.50,1.91
E035,2025-06-03,Northern Virginia data center demand faces constrained power supply,power_bottleneck,regional_grid_constraint,Northern Virginia data center demand constrained power supply June 2025,GDELT/NewsAPI,https://news.google.com/search?q=Northern+Virginia+data+center+demand+constrained+power+supply+June+2025,aggregator_query_linked_seeded_observation,-0.81,0.40,1.56,-0.49,0.54,1.74,0.98,1.14,2.18,0.36,1.42,2.03
E036,2025-06-24,Infrastructure reports highlight grid capacity gaps for the AI economy,power_bottleneck,grid_constraint,AI economy grid capacity gaps June 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+economy+grid+capacity+gaps+June+2025,aggregator_query_linked_seeded_observation,-0.80,0.51,1.66,-0.45,0.52,1.71,1.00,1.18,2.25,0.33,1.52,2.02
E037,2025-07-15,Administration reverses or adjusts AI chip export policy affecting Nvidia China sales,policy_semiconductor,chip_export_policy_shift,AI chip export policy Nvidia China July 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+chip+export+policy+Nvidia+China+July+2025,aggregator_query_linked_seeded_observation,-1.63,0.00,1.26,-1.02,0.41,1.46,0.45,1.09,1.75,0.23,1.92,2.12
E038,2025-07-23,US executive order aims to accelerate federal permitting for data center infrastructure,policy_ai_infra,ai_infrastructure_policy,accelerating federal permitting data center infrastructure July 23 2025,GDELT/NewsAPI,https://news.google.com/search?q=accelerating+federal+permitting+data+center+infrastructure+July+23+2025,aggregator_query_linked_seeded_observation,0.92,0.11,1.53,0.74,0.38,1.62,1.00,1.10,2.14,0.22,1.54,2.01
E039,2025-07-24,DOE designates federal sites for AI data center and energy co-location opportunities,policy_ai_infra,ai_energy_colocation,DOE federal sites AI data center energy co-location July 2025,GDELT/NewsAPI,https://news.google.com/search?q=DOE+federal+sites+AI+data+center+energy+co-location+July+2025,aggregator_query_linked_seeded_observation,0.86,0.21,1.49,0.76,0.38,1.58,0.94,1.00,2.12,0.25,1.57,2.11
E040,2025-08-08,AI data center co-location with energy assets becomes a policy focus,policy_ai_infra,ai_energy_colocation,AI data center energy co-location policy August 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+center+energy+co-location+policy+August+2025,aggregator_query_linked_seeded_observation,0.82,0.27,1.65,0.68,0.36,1.71,1.03,1.05,2.19,0.24,1.46,2.14
E041,2025-09-12,Power infrastructure bottlenecks raise concerns about timing of hyperscale AI buildout,power_bottleneck,hyperscale_delay,power infrastructure bottlenecks hyperscale AI buildout September 2025,NewsAPI,https://news.google.com/search?q=power+infrastructure+bottlenecks+hyperscale+AI+buildout+September+2025,news_query_linked_seeded_observation,-0.82,0.32,1.50,-0.54,0.60,1.57,0.96,1.11,2.17,0.35,1.44,2.11
E042,2025-10-09,China export controls and trade tensions renew semiconductor supply-chain risk,policy_semiconductor,china_export_controls,China export controls semiconductor supply chain October 2025,GDELT/NewsAPI,https://news.google.com/search?q=China+export+controls+semiconductor+supply+chain+October+2025,aggregator_query_linked_seeded_observation,-1.75,0.00,1.15,-0.98,0.32,1.55,0.47,1.18,1.71,0.21,1.93,2.30
E043,2025-11-06,Advanced GPU smuggling and enforcement headlines increase AI chip policy scrutiny,policy_semiconductor,chip_export_enforcement,advanced GPU smuggling enforcement AI chips November 2025,GDELT/NewsAPI,https://news.google.com/search?q=advanced+GPU+smuggling+enforcement+AI+chips+November+2025,aggregator_query_linked_seeded_observation,-1.92,0.03,1.28,-0.99,0.23,1.45,0.51,1.15,1.75,0.21,1.84,2.26
E044,2025-12-04,SAFE Chips Act proposal raises advanced AI chip export-control risk,policy_semiconductor,chip_export_controls,SAFE Chips Act advanced AI chip exports December 2025,GDELT/NewsAPI,https://news.google.com/search?q=SAFE+Chips+Act+advanced+AI+chip+exports+December+2025,aggregator_query_linked_seeded_observation,-1.67,0.00,1.32,-1.03,0.44,1.40,0.48,1.17,1.73,0.22,1.78,2.31
E045,2025-12-07,Reports warn that large AI data centers may exceed gigawatt-scale power needs,power_bottleneck,gigawatt_data_centers,AI data centers gigawatt power demand December 2025,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+centers+gigawatt+power+demand+December+2025,aggregator_query_linked_seeded_observation,-0.78,0.36,1.65,-0.53,0.50,1.69,1.06,1.09,2.11,0.35,1.55,1.98
E046,2026-01-14,US imposes tariff on certain advanced AI chip imports,policy_semiconductor,ai_chip_tariff,advanced AI chip imports tariff January 2026,GDELT/NewsAPI,https://news.google.com/search?q=advanced+AI+chip+imports+tariff+January+2026,aggregator_query_linked_seeded_observation,-1.70,0.00,1.24,-0.93,0.32,1.55,0.48,1.13,1.87,0.20,1.94,2.20
E047,2026-02-10,Research highlights data centers and US electric grid as a major AI bottleneck,power_bottleneck,grid_constraint,AI data centers US electric grid bottleneck February 2026,GDELT/NewsAPI,https://news.google.com/search?q=AI+data+centers+US+electric+grid+bottleneck+February+2026,aggregator_query_linked_seeded_observation,-0.75,0.49,1.48,-0.51,0.52,1.72,1.01,1.07,2.19,0.38,1.44,1.98
E048,2026-03-10,Strait of Hormuz disruption triggers sharp reaction in oil and gas markets,geopolitical_energy,oil_lng_chokepoint,Strait of Hormuz disruption oil gas markets March 2026,GDELT/NewsAPI,https://news.google.com/search?q=Strait+of+Hormuz+disruption+oil+gas+markets+March+2026,aggregator_query_linked_seeded_observation,-0.80,0.50,1.42,-0.84,0.36,1.41,0.13,1.21,1.92,1.66,0.00,1.56
E049,2026-04-16,IEA reports data center electricity use surged in 2025 despite deployment bottlenecks,ai_demand,data_center_electricity,IEA data centre electricity use surged 2025 April 2026,GDELT/NewsAPI,https://news.google.com/search?q=IEA+data+centre+electricity+use+surged+2025+April+2026,aggregator_query_linked_seeded_observation,1.56,0.00,1.35,0.94,0.24,1.46,0.87,0.96,1.97,0.26,1.43,1.92
E050,2026-04-24,Maine governor vetoes statewide freeze on large data centers,policy_ai_infra,data_center_policy,Maine governor vetoes data center freeze April 2026,GDELT/NewsAPI,https://news.google.com/search?q=Maine+governor+vetoes+data+center+freeze+April+2026,aggregator_query_linked_seeded_observation,0.85,0.19,1.64,0.67,0.41,1.72,0.92,1.09,2.28,0.24,1.52,2.10
